"","name","id.x","spkid","full_name","pdes","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT","id.y","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation"
"1","Aarhus","a0002676",2002676,"  2676 Aarhus (1933 QV)","2676","","N","N",12.9,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 21",2457400.5,57400,20160113,"J2000",0.127818317651385,2.40318438286187,2.09601339803839,4.55687090225341,289.669514595426,45.7263286123867,32.9617263053964,2.71035536768536,0.26455954458222,2457275.90904503,20150910.409045,1360.75226682331,3.725536664814,1.08688,422.9810896,2.614,3.509,6.4822e-08,1.1356e-08,1.5864e-07,5.6086e-06,7.3195e-05,7.5735e-05,1.8516e-05,1.2808e-08,1.8753e-09,7.0034e-05,9.6454e-06,"MBA","Otto Matic",30096,"1933-08-28","2016-01-21",1362,NA,NA,"0",0.4868,NA,NA,NA,NA,NA,2,"Valid","H6","720","Fell",1951,56.18333,10.23333,"(56.183330, 10.233330)"
"2","Abbott","a0017023",2017023," 17023 Abbott (1999 EG)","17023","","N","N",14.9,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 19",2457400.5,57400,20160113,"J2000",0.122603997150061,2.41658834272059,2.12030495243681,1.85495545594846,287.619303811713,186.714736062704,230.836800755934,2.71287173300438,0.262361472452229,2457892.81008668,20170519.3100867,1372.15268932274,3.75674932052769,1.13667,442.3578639,2.37816,3.505,5.0506e-08,1.4416e-08,1.1954e-07,5.3683e-06,0.00017776,0.00017975,2.7601e-05,1.6183e-08,2.3476e-09,0.0001076,1.2278e-05,"MBA","Otto Matic",8088,"1993-09-14","2015-11-06",941,NA,NA,"0",0.58753,NA,NA,NA,NA,NA,5,"Valid","H3-6","21100","Found",1951,36.3,-104.28333,"(36.300000, -104.283330)"
"3","Acapulco","a0006349",2006349,"  6349 Acapulco (1995 CN1)","6349","","N","N",12.3,NA,NA,NA,NA,NA,NA,"19.24","",0.0757,4.3755,NA,NA,NA,NA,"","",NA,1.2,"JPL 18",2457400.5,57400,20160113,"J2000",0.13958748207776,2.66554977682051,2.2934723951212,10.7920837635726,328.123898699864,236.73229306258,247.529764241428,3.03762715851982,0.226476882572244,2457897.10801792,20170523.6080179,1589.56621051671,4.35199510066176,1.31142,510.3653214,2.01865,3.344,5.3526e-08,2.0435e-08,1.4859e-07,6.2473e-06,2.4774e-05,3.5352e-05,3.1612e-05,2.3288e-08,2.6044e-09,0.00014328,1.828e-05,"MBA","Otto Matic",25195,"1947-03-12","2016-03-04",1384,NA,NA,"0",0.50437,NA,NA,NA,NA,NA,10,"Valid","Acapulcoite","1914","Fell",1976,16.88333,-99.9,"(16.883330, -99.900000)"
"4","Achilles","a0000588",2000588,"   588 Achilles (1906 TG)","588","","N","N",8.67,NA,NA,NA,NA,NA,NA,"135.47","",0.0328,7.306,NA,0.755,0.216,NA,"","DU",NA,4.1,"JPL 59",2457400.5,57400,20160113,"J2000",0.147042468101748,5.20591832480084,4.44042724558601,10.3151818192398,316.562988124046,133.579463062825,138.597022350481,5.97140940401567,0.0829770610508998,2455730.19473014,20110617.6947301,4338.54845472496,11.8782983017795,3.46702,1349.2601734,0.566543,2.946,4.9726e-08,7.1219e-08,2.709e-07,6.1647e-06,3.2019e-05,3.8248e-05,2.0987e-05,8.1691e-08,1.7027e-09,0.00024937,8.9029e-05,"TJN","Otto Matic",40152,"1906-02-22","2016-01-28",1201,NA,NA,"0",0.57434,NA,NA,NA,NA,NA,369,"Valid","H5","16000","Found",1924,39.77667,-100.81333,"(39.776670, -100.813330)"
"5","Adelaide","a0000525",2000525,"   525 Adelaide (1908 EKa)","525","","N","N",12.53,NA,NA,NA,NA,NA,NA,"","",NA,19.967,NA,0.95,0.56,NA,"","SU",NA,NA,"JPL 22",2457400.5,57400,20160113,"J2000",0.102256994602996,2.24534684862369,2.01574442804212,5.99494777774039,203.41085137221,264.210882655796,253.097258701827,2.47494926920525,0.292940161761684,2457765.43030063,20170111.9303006,1228.9199194642,3.36459936882739,1.04268,405.7797756,2.64048,3.617,3.5653e-08,6.9381e-09,7.9266e-08,4.4956e-06,3.9099e-05,4.5137e-05,2.3806e-05,7.6475e-09,1.3578e-09,8.1832e-05,5.696e-06,"MBA","Otto Matic",39129,"1908-10-22","2015-12-09",1741,NA,NA,"0",0.49538,NA,NA,NA,NA,NA,377,"Valid","C2-ung","2031","Found",1972,NA,NA,""
"6","Alamosa","a0002927",2002927,"  2927 Alamosa (1981 TM)","2927","","N","N",12,NA,NA,NA,NA,NA,NA,"","",NA,4.3832,NA,NA,NA,NA,"","",NA,NA,"JPL 20",2457400.5,57400,20160113,"J2000",0.168845401043796,2.53221422933331,2.10466150225272,17.0210470053739,150.489825405706,189.530330768696,228.961282857332,2.95976695641389,0.244598284374824,2457936.23031993,20170701.7303199,1471.80100187593,4.02957153148784,1.09472,426.0321824,2.42483,3.37,5.128e-08,1.521e-08,1.3193e-07,5.2954e-06,1.7318e-05,2.3167e-05,1.832e-05,1.7778e-08,2.2038e-09,7.6755e-05,1.3261e-05,"MBA","Otto Matic",29099,"1936-07-16","2016-03-17",1428,NA,NA,"0",0.45103,NA,NA,NA,NA,NA,450,"Valid","L6","1800","Found",1937,37.46667,-105.86667,"(37.466670, -105.866670)"
"7","Aleppo","a0013128",2013128," 13128 Aleppo (1994 PS28)","13128","","N","N",14.7,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 15",2457400.5,57400,20160113,"J2000",0.174149588881022,2.3821228622504,1.96727714512541,6.02609860012338,134.819875395225,89.7680904916174,22.6314657642897,2.79696857937539,0.268075940329866,2457316.07815395,20151020.5781539,1342.90305783138,3.67666819392575,0.968883,377.06019711,2.20253,3.51,6.6022e-08,1.8259e-08,1.6583e-07,6.8311e-06,4.9562e-05,5.434e-05,2.6036e-05,2.1439e-08,3.0823e-09,9.6703e-05,1.544e-05,"MBA","Otto Matic",12169,"1982-02-20","2015-06-16",907,NA,NA,"0",0.57331,NA,NA,NA,NA,NA,462,"Valid","L6","3200","Fell",1873,36.23333,37.13333,"(36.233330, 37.133330)"
"8","Allen","a0019727",2019727," 19727 Allen (1999 XS2)","19727","","N","N",13.1,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 17",2457400.5,57400,20160113,"J2000",0.187660724041922,2.43384021352688,1.97710399685408,13.3587343956243,253.180300155656,324.870730227163,268.490924988561,2.89057643019969,0.259576863266881,2457753.03170818,20161230.5317082,1386.87244875854,3.79704982548539,0.981341,381.90847697,2.15723,3.445,6.3716e-08,1.8085e-08,1.5846e-07,7.2709e-06,2.5168e-05,3.0267e-05,1.8783e-05,2.1479e-08,2.8932e-09,7.3533e-05,1.5458e-05,"MBA","Otto Matic",11012,"1986-01-10","2016-03-05",1040,NA,NA,"0",0.45365,NA,NA,NA,NA,NA,2277,"Valid","H4","1407","Found",1923,33.1,-96.7,"(33.100000, -96.700000)"
"9","Amber","a0002933",2002933,"  2933 Amber (1983 HN)","2933","","N","N",11.8,NA,NA,NA,NA,NA,NA,"20.62","",0.0869,13.482,NA,NA,NA,NA,"","",NA,1.1,"JPL 20",2457400.5,57400,20160113,"J2000",0.0470722336779222,2.60953219101055,2.48669568192524,7.21739400782445,121.50081875843,220.574941938232,149.30824042564,2.73236870009586,0.233808387068501,2456761.90767961,20140414.4076796,1539.72235347797,4.21553005743454,1.47946,575.7614482,2.46473,3.398,5.2988e-08,1.442e-08,1.3283e-07,4.671e-06,3.5325e-05,5.8154e-05,4.7656e-05,1.5098e-08,1.9379e-09,0.00020205,1.2762e-05,"MBA","Otto Matic",27806,"1940-02-02","2016-03-20",1766,NA,NA,"0",0.45669,NA,NA,NA,NA,NA,2291,"Valid","L6","4532","Found",1934,35.16667,-97.88333,"(35.166670, -97.883330)"
"10","Angelica","a0000965",2000965,"   965 Angelica (1921 KT)","965","","N","N",10.1,NA,NA,NA,NA,NA,NA,"53.63","",0.0739,17.772,NA,NA,NA,NA,"Xc","",NA,1.3,"JPL 17",2457400.5,57400,20160113,"J2000",0.283037854920603,3.15348127394999,2.26092669863889,21.4582762163648,41.4693358397156,46.8216254653754,241.178441177288,4.04603584926108,0.176002440251164,2458075.61313282,20171118.1131328,2045.42618549074,5.60007169196642,1.324,515.26108,1.61919,3.04,4.5369e-08,2.2335e-08,1.455e-07,7.0775e-06,1.3956e-05,1.8785e-05,1.2608e-05,2.8656e-08,1.8698e-09,7.5719e-05,2.173e-05,"MBA","Otto Matic",32052,"1927-12-18","2015-09-19",1158,NA,NA,"0",0.47457,NA,NA,NA,NA,NA,2300,"Valid","Iron, IIIAB","14800","Found",1916,44.25,-88.25,"(44.250000, -88.250000)"
