,Tp,M,Name,Num_obs,Synodic_period,Perturbers_2,Ref,NEO_flag,Perturbers,Perihelion_dist,Aphelion_dist,Computer,Node,H,rms,Number,n,Num_opps,One_km_NEO_flag,Orbital_period,Peri,G,Principal_desig,e,Epoch,Arc_years,Semilatus_rectum,i,U,a,Last_obs,Hex_flags,PHA_flag,Critical_list_numbered_object_flag,Arc_length,One_opposition_object_flag
1,2457230.186,95.3612,Eros,6896,2.3153054,38h,MPO355095,1,M-v,1.1332395,1.7825161,MPCLINUX,304.32983,11.16,0.66,-433,0.55991538,49,1,1.7602797,178.79795,0.46,1898DQ,0.2226787,2457400.5,1893-2014,0.6927939,10.82861,0,1.4578778,12/22/14,1804,NA,NA,NA,NA
2,2456825.482,132.63149,Albert,1080,1.3055245,38h,MPO365250,1,M-v,1.182662,4.0838446,MPCLINUX,183.97346,15.5,0.42,-719,0.2306562,15,1,4.2730597,156.01908,0.15,1911MT,0.5508742,2457400.5,1911-2016,0.91708,11.56459,0,2.6332533,2/6/16,1804,NA,NA,NA,NA
3,2457834.613,250.36358,Alinda,799,1.3445211,3Eh,MPO365253,1,M-h,1.0727641,3.8847567,MPCLINUX,110.5523,13.4,0.73,-887,0.25255284,31,1,3.9025801,350.34614,-0.12,1918DB,0.5672175,2457400.5,1918-2015,0.8406274,9.35748,0,2.4787604,7/6/15,1804,NA,NA,NA,NA
4,2457392.474,1.82013,Ganymed,4666,1.2988334,38h,MPO370975,1,M-v,1.2412162,4.0853366,MPCLINUX,215.55546,9.45,0.46,-1036,0.22676693,55,1,4.3463466,132.47899,0.3,1924TD,0.5339514,2457400.5,1924-2015,0.9519827,26.69239,0,2.6632764,11/27/15,1804,NA,NA,NA,NA
5,2456954.012,165.48924,Amor,356,1.6027164,3Eh,MPO347525,1,M-v,1.0835807,2.7551925,MPCW,171.34593,17.7,1.25,-1221,0.37064691,18,1,2.6591552,26.63622,0.15,1932 EA1,0.4354547,2457400.5,1932-2015,0.7777155,11.87965,0,1.9193866,9/18/15,1804,NA,NA,NA,NA
6,2457555.726,223.32108,Icarus,1017,9.3786624,3Eh,MPO350811,1,M-v,0.1866191,1.9695069,MPCW,88.01663,16.9,1.08,-1566,0.88051721,33,1,1.1193508,31.37858,0.15,1949 MA,0.8268941,2457400.5,1949-2015,0.1704666,22.82823,0,1.078063,7/31/15,9803,1,NA,NA,NA
7,2457166.234,70.89179,Betulia,901,1.4430658,38h,MPO344309,1,M-v,1.1261052,3.2683858,MPCLINUX,62.30238,14.8,0.55,-1580,0.30261204,22,1,3.2570009,159.47017,0.15,1950 KA,0.4874923,2457400.5,1950-2015,0.8375364,52.08157,0,2.1972455,7/11/15,1804,NA,NA,NA,NA
8,2457653.64,180.47273,Geographos,3493,3.5658104,3Eh,MPO370982,1,M-v,0.8276368,1.66305,MPCW,337.21641,15.6,1.81,-1620,0.70920276,31,1,1.3897404,276.87866,0.15,1951 RA,0.3354148,2457400.5,1951-2015,0.5526192,13.33771,0,1.2453434,12/20/15,9803,1,NA,NA,NA
9,2457409.823,356.38624,Ivar,4632,1.648218,38h,MPO365263,1,M-v,1.1242728,2.6015802,MPCLINUX,133.14776,13.2,0.43,-1627,0.38762386,28,1,2.542691,167.78958,0.6,1929 SH,0.3965018,2457400.5,1929-2015,0.7850245,8.45113,0,1.8629265,6/11/15,1804,NA,NA,NA,NA
10,2457361.258,24.18979,Toro,1729,2.6696804,3Eh,MPO370983,1,M-v,0.7713252,1.9634016,MPCW,274.30134,14.23,0.52,-1685,0.61642202,34,1,1.598917,127.11026,0.15,1948 OA,0.4359033,2457400.5,1948-2015,0.5537742,9.38061,0,1.3673634,12/18/15,1803,NA,NA,NA,NA
